Wed Feb 20 21:51:09 2019	Pupa (STEAM_0:0:99146775) spawned
Wed Feb 20 21:51:49 2019	Pupa was killed by Himself with a suicide trick
Wed Feb 20 21:51:51 2019	Pupa (STEAM_0:0:99146775) spawned
Wed Feb 20 21:52:03 2019	Pupa was killed by Himself with a suicide trick
Wed Feb 20 21:52:04 2019	Pupa (STEAM_0:0:99146775) spawned
Wed Feb 20 21:52:12 2019	Pupa (STEAM_0:0:99146775): /votescp173
Wed Feb 20 21:52:27 2019	Pupa (STEAM_0:0:99146775): /votescp173
Wed Feb 20 21:52:42 2019	Bot01 was killed by Pupa with a scp173
Wed Feb 20 21:52:43 2019	Bot01 (BOT) spawned
Wed Feb 20 21:52:56 2019	Bot01 was killed by Pupa with a scp173
Wed Feb 20 21:52:57 2019	Bot01 (BOT) spawned
Wed Feb 20 21:53:03 2019	Bot01 was killed by Pupa with a scp173
Wed Feb 20 21:53:04 2019	Bot01 (BOT) spawned
Wed Feb 20 21:53:10 2019	Bot01 was killed by Pupa with a scp173
Wed Feb 20 21:53:11 2019	Bot01 (BOT) spawned
Wed Feb 20 21:53:20 2019	Bot01 was killed by Pupa with a scp173
Wed Feb 20 21:53:21 2019	Bot01 (BOT) spawned
Wed Feb 20 21:53:40 2019	Bot01 was killed by Pupa with a scp173
Wed Feb 20 21:53:41 2019	Bot01 (BOT) spawned
Wed Feb 20 21:53:55 2019	Bot01 was killed by Pupa with a scp173
Wed Feb 20 21:53:57 2019	Bot01 (BOT) spawned
Wed Feb 20 21:54:03 2019	Pupa (STEAM_0:0:99146775): /parkour
Wed Feb 20 21:55:32 2019	Bot01 was killed by Pupa with a m9k_model500
Wed Feb 20 21:55:33 2019	Bot01 (BOT) spawned
Wed Feb 20 21:55:44 2019	Bot01 was killed by Pupa with a m9k_model500
Wed Feb 20 21:55:45 2019	Bot01 (BOT) spawned
Wed Feb 20 21:55:54 2019	Bot01 was killed by Pupa with a m9k_model500
Wed Feb 20 21:55:55 2019	Bot01 (BOT) spawned
Wed Feb 20 21:56:05 2019	Bot01 was killed by Pupa with a m9k_scoped_taurus
Wed Feb 20 21:56:06 2019	Bot01 (BOT) spawned
Wed Feb 20 21:56:24 2019	Bot01 was killed by Pupa with a m9k_luger
Wed Feb 20 21:56:24 2019	Bot01 (BOT) spawned
Wed Feb 20 21:56:42 2019	Pupa (STEAM_0:0:99146775): /omoncom
Wed Feb 20 21:56:44 2019	Bot01 was killed by Pupa with a m9k_scar
Wed Feb 20 21:56:45 2019	Bot01 (BOT) spawned
Wed Feb 20 21:56:51 2019	Bot01 was killed by Pupa with a m9k_scar
Wed Feb 20 21:56:52 2019	Bot01 (BOT) spawned
Wed Feb 20 21:56:56 2019	Bot01 was killed by Pupa with a m9k_scar
Wed Feb 20 21:56:57 2019	Bot01 (BOT) spawned
Wed Feb 20 21:57:01 2019	Bot01 was killed by Pupa with a m9k_scar
Wed Feb 20 21:57:02 2019	Bot01 (BOT) spawned
Wed Feb 20 21:57:09 2019	Bot01 was killed by Pupa with a m9k_scar
Wed Feb 20 21:57:10 2019	Bot01 (BOT) spawned
Wed Feb 20 21:57:35 2019	Bot01 was killed by Pupa with a stunstick
Wed Feb 20 21:57:36 2019	Bot01 (BOT) spawned
Wed Feb 20 21:57:54 2019	Bot01 was killed by Pupa with a m9k_fg42
Wed Feb 20 21:57:55 2019	Bot01 (BOT) spawned
Wed Feb 20 21:58:02 2019	Bot01 was killed by Pupa with a m9k_fg42
Wed Feb 20 21:58:03 2019	Bot01 (BOT) spawned
Wed Feb 20 21:58:07 2019	Bot01 was killed by Pupa with a m9k_fg42
Wed Feb 20 21:58:08 2019	Bot01 (BOT) spawned
Wed Feb 20 21:58:13 2019	Bot01 was killed by Pupa with a m9k_fg42
Wed Feb 20 21:58:14 2019	Bot01 (BOT) spawned
Wed Feb 20 21:58:25 2019	Bot01 was killed by Pupa with a m9k_fg42
Wed Feb 20 21:58:26 2019	Bot01 (BOT) spawned
Wed Feb 20 21:58:45 2019	Bot01 was killed by Pupa with a weapon_357
Wed Feb 20 21:58:46 2019	Bot01 (BOT) spawned
Wed Feb 20 21:58:52 2019	Bot01 was killed by Pupa with a weapon_357
Wed Feb 20 21:58:53 2019	Bot01 (BOT) spawned
Wed Feb 20 21:58:58 2019	Bot01 was killed by Pupa with a weapon_357
Wed Feb 20 21:58:59 2019	Bot01 (BOT) spawned
Wed Feb 20 21:59:06 2019	Bot01 was killed by Pupa with a weapon_357
Wed Feb 20 21:59:07 2019	Bot01 (BOT) spawned
Wed Feb 20 21:59:18 2019	Bot01 was killed by Pupa with a weapon_crowbar
Wed Feb 20 21:59:19 2019	Bot01 (BOT) spawned
Wed Feb 20 22:00:10 2019	Pupa (STEAM_0:0:99146775) disconnected
Wed Feb 20 22:00:10 2019	Bot01 (BOT) disconnected
